#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                  15.799              45.992             -30.192
rxn_365                 33.981              54.192             -20.211
rxn_500                 21.663              49.688             -28.025
rxn_635                 30.467              46.846             -16.379
rxn_657                 20.585              49.806             -29.221
rxn_795                 27.548              33.823              -6.275
rxn_816                 19.184              20.983              -1.798
rxn_853                 28.182              24.629               3.553
rxn_1024                20.694              24.320              -3.627
rxn_1083                26.611              25.815               0.796
rxn_1093                35.651              26.587               9.063
rxn_1217                24.430              25.882              -1.452
rxn_1424                34.562              26.656               7.907
rxn_1441                33.226              29.685               3.541
rxn_1487                14.594              51.124             -36.530
rxn_1500                15.846              52.429             -36.584
rxn_1536                15.485              38.583             -23.098
rxn_1606                18.701              42.703             -24.002
rxn_1708                18.193              40.433             -22.240
rxn_1814                13.887              45.079             -31.192
rxn_1909                17.909              40.030             -22.121
rxn_2012                16.302              43.426             -27.124
rxn_2478                17.050              48.464             -31.414
rxn_2482                16.461              47.160             -30.699
rxn_2551                12.849              47.829             -34.980
rxn_3185                25.507              36.575             -11.068
rxn_3480                25.144              35.372             -10.228
rxn_3483                29.057              35.785              -6.728
rxn_3536                27.454              35.365              -7.911
rxn_4392                 9.521              24.916             -15.395
rxn_4701                 9.072              29.926             -20.854
rxn_5245                31.001              32.636              -1.635
rxn_5345                32.161              36.304              -4.143
rxn_5374                31.044              34.880              -3.836
rxn_5534                36.744              35.325               1.419
rxn_5575                28.993              47.232             -18.240
rxn_5894                19.122              30.898             -11.776
rxn_5947                27.632              38.279             -10.646
rxn_5964                24.796              39.456             -14.660
rxn_5974                24.391              43.484             -19.093
rxn_6105                33.373              41.440              -8.067
rxn_6117                23.793              37.108             -13.315
rxn_6137                17.928              47.794             -29.867
rxn_6180                23.443              31.954              -8.512
rxn_6192                31.514              42.885             -11.371
rxn_6371                46.410              56.379              -9.969
rxn_6424                30.323              17.687              12.636
rxn_6612                31.841              15.495              16.346
rxn_7236                29.623              26.747               2.876
rxn_7406                70.898              35.810              35.088
rxn_7888                27.977              64.070             -36.093
rxn_7911                34.994              66.632             -31.638
