,Name,wb97x-v-DFT-forward,wb97x-v-DFT-reverse,wb97x-v-DFT-reaction
0,rxn_33,12.73,62.076,-49.346
1,rxn_216,13.167,51.348,-38.181
2,rxn_365,28.719,70.737,-42.017
5,rxn_632,13.439,61.466,-48.027
9,rxn_721,18.568,65.84,-47.271
10,rxn_769,25.076,36.008,-10.932
14,rxn_853,23.431,36.114,-12.683
16,rxn_971,24.828,45.393,-20.565
17,rxn_1017,26.516,39.198,-12.682
18,rxn_1024,18.498,35.273,-16.775
20,rxn_1093,23.705,38.757,-15.053
21,rxn_1181,21.415,36.791,-15.376
24,rxn_1248,24.137,36.943,-12.807
25,rxn_1285,25.29,43.316,-18.026
28,rxn_1394,19.594,35.076,-15.481
29,rxn_1424,23.338,38.661,-15.323
30,rxn_1441,27.96,41.265,-13.304
31,rxn_1463,10.667,61.769,-51.102
32,rxn_1466,7.725,60.93,-53.205
33,rxn_1479,17.508,66.424,-48.916
37,rxn_1536,14.67,53.615,-38.945
39,rxn_1708,17.316,56.192,-38.876
41,rxn_1779,16.004,54.021,-38.017
42,rxn_1814,13.617,58.095,-44.478
45,rxn_2012,15.363,57.19,-41.827
46,rxn_2211,23.114,64.945,-41.83
48,rxn_2270,10.354,58.085,-47.731
49,rxn_2310,18.625,60.32,-41.695
50,rxn_2334,14.418,60.721,-46.303
52,rxn_2482,13.608,59.329,-45.721
53,rxn_2517,19.957,59.321,-39.364
54,rxn_2530,14.809,61.056,-46.247
56,rxn_2645,13.563,58.354,-44.791
58,rxn_2890,14.185,59.265,-45.08
60,rxn_2972,23.517,52.507,-28.99
63,rxn_3225,11.833,52.308,-40.475
65,rxn_3483,18.046,48.139,-30.093
66,rxn_3536,18.397,49.736,-31.339
70,rxn_4392,9.817,40.819,-31.002
71,rxn_4581,20.491,52.03,-31.539
73,rxn_5129,-2.256,45.436,-47.692
74,rxn_5245,40.439,43.412,-2.973
75,rxn_5345,41.611,47.168,-5.557
76,rxn_5374,39.546,45.265,-5.719
79,rxn_5534,42.568,42.087,0.481
84,rxn_5751,32.404,47.708,-15.304
89,rxn_5956,44.443,65.833,-21.39
93,rxn_6105,40.88,53.42,-12.539
96,rxn_6178,44.053,64.259,-20.207
97,rxn_6180,30.637,43.626,-12.989
101,rxn_6322,66.294,65.382,0.912
104,rxn_6410,27.717,29.35,-1.633
106,rxn_6583,48.172,44.939,3.233
107,rxn_6612,27.76,24.2,3.56
109,rxn_7236,28.906,38.907,-10.001
114,rxn_7911,34.551,78.501,-43.95
