,Name,m06-DFT-forward,m06-DFT-reverse,m06-DFT-reaction
0,rxn_33,14.709,50.393,-35.684
1,rxn_216,14.078,40.287,-26.209
2,rxn_365,28.408,59.914,-31.506
5,rxn_632,14.937,49.887,-34.95
9,rxn_721,19.445,54.933,-35.488
10,rxn_769,25.91,25.392,0.518
14,rxn_853,26.659,27.105,-0.446
16,rxn_971,26.072,36.526,-10.455
17,rxn_1017,28.989,30.222,-1.233
18,rxn_1024,19.415,27.451,-8.035
20,rxn_1093,26.108,30.173,-4.065
21,rxn_1181,22.478,29.061,-6.582
24,rxn_1248,26.878,28.283,-1.405
25,rxn_1285,26.272,35.388,-9.116
28,rxn_1394,20.84,26.132,-5.292
29,rxn_1424,25.175,30.001,-4.826
30,rxn_1441,29.742,32.125,-2.383
31,rxn_1463,14.511,53.134,-38.622
32,rxn_1466,10.402,53.386,-42.984
33,rxn_1479,20.484,57.854,-37.37
37,rxn_1536,15.041,42.405,-27.363
39,rxn_1708,16.832,44.524,-27.691
41,rxn_1779,16.287,42.485,-26.199
42,rxn_1814,13.833,48.792,-34.959
45,rxn_2012,15.18,46.333,-31.153
46,rxn_2211,23.412,55.389,-31.977
48,rxn_2270,12.154,50.366,-38.212
49,rxn_2310,15.06,49.275,-34.215
50,rxn_2334,15.811,53.935,-38.124
52,rxn_2482,15.02,52.461,-37.441
53,rxn_2517,18.793,50.504,-31.711
54,rxn_2530,16.429,54.21,-37.781
56,rxn_2645,14.429,50.941,-36.513
58,rxn_2890,13.835,50.392,-36.557
60,rxn_2972,25.379,45.475,-20.095
63,rxn_3225,14.29,43.046,-28.756
65,rxn_3483,21.873,40.146,-18.272
66,rxn_3536,21.33,41.257,-19.927
70,rxn_4392,9.471,27.647,-18.176
71,rxn_4581,17.352,36.948,-19.596
73,rxn_5129,-1.348,31.771,-33.119
74,rxn_5245,33.166,35.515,-2.349
75,rxn_5345,36.052,40.2,-4.149
76,rxn_5374,33.881,37.29,-3.409
79,rxn_5534,37.348,36.756,0.592
84,rxn_5751,26.97,40.079,-13.108
89,rxn_5956,36.187,55.442,-19.255
93,rxn_6105,32.631,44.599,-11.968
96,rxn_6178,35.603,53.207,-17.604
97,rxn_6180,24.335,35.331,-10.996
101,rxn_6322,57.4,57.779,-0.379
104,rxn_6410,27.345,23.583,3.762
106,rxn_6583,46.012,35.005,11.007
107,rxn_6612,25.135,16.097,9.038
109,rxn_7236,28.909,32.17,-3.261
114,rxn_7911,32.529,69.519,-36.99
