#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 42.681              63.318             -20.636
rxn_635                 39.604              56.132             -16.528
rxn_657                 28.917              58.321             -29.404
rxn_853                 34.128              30.723               3.405
rxn_1024                25.256              29.728              -4.472
rxn_1093                42.740              32.493              10.247
rxn_1217                29.414              31.491              -2.077
rxn_1424                41.112              32.533               8.580
rxn_1441                39.629              35.406               4.223
rxn_1487                23.112              55.272             -32.160
rxn_1708                26.582              48.784             -22.203
rxn_1814                19.169              51.687             -32.518
rxn_1909                26.456              48.668             -22.212
rxn_2012                23.186              50.851             -27.665
rxn_2482                24.327              53.409             -29.082
rxn_3483                34.980              43.704              -8.724
rxn_3536                31.978              43.332             -11.354
rxn_4392                12.162              34.883             -22.722
rxn_5245                39.268              41.131              -1.863
rxn_5374                38.021              43.529              -5.508
rxn_5534                43.514              43.194               0.320
rxn_5964                33.123              46.469             -13.346
rxn_5974                31.958              50.969             -19.011
rxn_6192                40.357              50.442             -10.085
rxn_6371                52.767              64.641             -11.874
rxn_6612                34.966              19.838              15.128
rxn_7236                32.698              33.796              -1.098
rxn_7406                73.116              38.219              34.897
rxn_7888                33.690              71.005             -37.315
rxn_7911                41.072              73.948             -32.877
