#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 30.765              58.633             -27.869
rxn_635                 26.370              50.781             -24.411
rxn_657                 16.528              53.859             -37.332
rxn_853                 24.353              27.301              -2.948
rxn_1024                18.239              27.301              -9.062
rxn_1093                31.219              29.750               1.469
rxn_1217                21.474              28.961              -7.487
rxn_1424                30.382              29.814               0.569
rxn_1441                29.540              32.895              -3.355
rxn_1487                10.924              53.088             -42.165
rxn_1708                14.968              44.323             -29.356
rxn_1814                11.824              48.847             -37.024
rxn_1909                14.705              43.866             -29.160
rxn_2012                13.508              47.081             -33.573
rxn_2482                12.196              50.251             -38.055
rxn_3483                24.336              39.603             -15.266
rxn_3536                23.453              39.901             -16.448
rxn_4392                 9.802              31.276             -21.475
rxn_5245                32.748              33.460              -0.712
rxn_5374                32.785              35.619              -2.833
rxn_5534                37.635              35.199               2.436
rxn_5964                26.573              42.667             -16.094
rxn_5974                26.593              46.250             -19.658
rxn_6192                33.306              46.103             -12.797
rxn_6371                46.142              59.417             -13.275
rxn_6612                31.639              18.849              12.790
rxn_7236                28.874              30.336              -1.462
rxn_7406                70.282              39.045              31.238
rxn_7888                28.357              68.513             -40.156
rxn_7911                34.177              70.047             -35.870
