#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 30.610              54.086             -23.476
rxn_635                 26.799              42.571             -15.771
rxn_657                 17.993              46.804             -28.811
rxn_853                 29.050              23.416               5.634
rxn_1024                19.609              23.033              -3.424
rxn_1093                31.455              24.944               6.511
rxn_1217                23.570              23.522               0.047
rxn_1424                30.838              24.651               6.187
rxn_1441                30.223              27.808               2.416
rxn_1487                11.302              52.832             -41.529
rxn_1708                15.731              37.059             -21.328
rxn_1814                13.442              43.845             -30.403
rxn_1909                15.477              36.533             -21.056
rxn_2012                14.036              40.095             -26.059
rxn_2482                14.680              46.280             -31.600
rxn_3483                28.701              32.725              -4.024
rxn_3536                28.848              32.882              -4.034
rxn_4392                 5.533              14.643              -9.110
rxn_5245                26.930              31.755              -4.825
rxn_5374                28.643              34.186              -5.544
rxn_5534                35.063              36.101              -1.037
rxn_5964                20.698              35.198             -14.499
rxn_5974                20.568              40.195             -19.628
rxn_6192                25.648              37.452             -11.804
rxn_6371                42.541              58.246             -15.705
rxn_6612                27.262              11.769              15.493
rxn_7236                29.313              27.788               1.526
rxn_7406                68.837              33.051              35.786
rxn_7888                28.060              61.583             -33.523
rxn_7911                33.191              65.034             -31.843
