,Name,m06l-DFT-forward,m06l-DFT-reverse,m06l-DFT-reaction
0,rxn_33,14.431,42.737,-28.306
1,rxn_53,23.101,47.292,-24.191
2,rxn_216,13.518,32.137,-18.62
3,rxn_365,27.918,54.086,-26.169
6,rxn_632,14.166,42.997,-28.831
10,rxn_721,18.699,48.095,-29.396
11,rxn_745,25.676,19.862,5.814
12,rxn_769,24.82,17.511,7.31
16,rxn_853,29.05,23.416,5.634
18,rxn_971,27.582,32.988,-5.405
19,rxn_1000,36.585,28.351,8.234
20,rxn_1017,30.359,26.469,3.89
21,rxn_1024,19.609,23.033,-3.424
23,rxn_1093,25.878,24.944,0.934
24,rxn_1181,23.32,25.328,-2.008
27,rxn_1248,29.173,24.801,4.372
28,rxn_1285,27.524,32.05,-4.526
31,rxn_1394,22.334,21.689,0.645
32,rxn_1424,25.103,24.651,0.452
33,rxn_1441,30.223,27.808,2.416
34,rxn_1463,12.361,50.921,-38.56
35,rxn_1466,7.854,51.228,-43.374
36,rxn_1479,19.485,56.634,-37.149
37,rxn_1480,13.366,48.636,-35.27
41,rxn_1536,14.125,35.618,-21.493
43,rxn_1708,15.731,37.059,-21.328
45,rxn_1779,15.466,35.467,-20.001
46,rxn_1814,13.442,43.845,-30.403
48,rxn_1919,13.032,30.415,-17.383
50,rxn_2012,14.036,40.095,-26.059
51,rxn_2211,22.621,49.231,-26.61
53,rxn_2270,11.345,44.23,-32.885
54,rxn_2310,13.313,43.404,-30.09
55,rxn_2334,15.026,47.256,-32.229
56,rxn_2468,20.965,46.148,-25.183
58,rxn_2482,14.68,46.28,-31.6
59,rxn_2517,17.116,44.905,-27.789
60,rxn_2530,16.07,48.097,-32.027
62,rxn_2645,13.791,43.482,-29.691
63,rxn_2672,12.682,46.654,-33.972
65,rxn_2720,7.787,46.08,-38.293
66,rxn_2890,12.734,42.576,-29.842
68,rxn_2972,25.938,37.642,-11.704
71,rxn_3225,14.45,36.006,-21.556
73,rxn_3483,23.647,32.725,-9.078
74,rxn_3536,23.811,32.882,-9.071
75,rxn_3759,-3.319,17.844,-21.163
79,rxn_4392,5.533,14.643,-9.11
80,rxn_4581,17.34,30.316,-12.976
81,rxn_4652,-5.1,24.058,-29.159
83,rxn_5129,0.274,23.855,-23.58
84,rxn_5245,26.93,31.755,-4.825
85,rxn_5345,30.956,37.457,-6.501
86,rxn_5374,28.643,34.186,-5.544
88,rxn_5432,28.404,44.445,-16.041
89,rxn_5534,35.063,36.101,-1.037
92,rxn_5590,20.237,30.088,-9.851
95,rxn_5751,20.269,32.331,-12.062
96,rxn_5756,21.243,38.872,-17.63
98,rxn_5854,21.198,32.599,-11.4
102,rxn_5956,27.976,47.58,-19.604
106,rxn_6105,25.186,37.28,-12.095
109,rxn_6178,27.193,44.242,-17.049
110,rxn_6180,16.696,27.531,-10.835
114,rxn_6322,54.22,54.793,-0.572
117,rxn_6410,27.029,16.039,10.99
119,rxn_6583,42.809,25.744,17.066
120,rxn_6612,23.712,11.769,11.943
122,rxn_7236,29.313,27.788,1.526
127,rxn_7911,31.057,65.034,-33.976
