,Name,pbe0-DFT-forward,pbe0-DFT-reverse,pbe0-DFT-reaction
0,rxn_33,19.839,52.347,-32.508
1,rxn_53,27.149,56.0,-28.85
2,rxn_216,19.072,43.864,-24.792
3,rxn_365,31.06,61.366,-30.306
6,rxn_632,20.619,52.777,-32.158
10,rxn_721,19.943,57.112,-37.169
11,rxn_745,24.609,26.026,-1.416
12,rxn_769,28.735,26.562,2.173
16,rxn_853,26.906,28.824,-1.918
18,rxn_971,26.409,38.473,-12.064
19,rxn_1000,37.972,32.566,5.406
20,rxn_1017,33.526,31.551,1.975
21,rxn_1024,17.711,28.395,-10.684
23,rxn_1093,29.84,30.809,-0.969
24,rxn_1181,20.511,30.285,-9.774
27,rxn_1248,30.072,29.56,0.512
28,rxn_1285,25.18,36.831,-11.65
31,rxn_1394,20.371,26.903,-6.533
32,rxn_1424,28.129,30.757,-2.628
33,rxn_1441,32.667,33.288,-0.621
34,rxn_1463,15.759,55.433,-39.674
35,rxn_1466,11.784,55.237,-43.453
36,rxn_1479,26.226,59.53,-33.304
37,rxn_1480,20.046,53.716,-33.669
41,rxn_1536,14.76,45.154,-30.395
43,rxn_1708,17.874,47.122,-29.248
45,rxn_1779,16.341,45.261,-28.92
46,rxn_1814,11.236,51.418,-40.182
48,rxn_1919,15.434,42.134,-26.7
50,rxn_2012,14.794,49.189,-34.395
51,rxn_2211,21.839,56.941,-35.102
53,rxn_2270,16.764,52.467,-35.703
54,rxn_2310,20.736,52.195,-31.459
55,rxn_2334,18.187,54.781,-36.594
56,rxn_2468,26.073,52.387,-26.313
58,rxn_2482,17.476,53.462,-35.985
59,rxn_2517,24.208,52.953,-28.745
60,rxn_2530,19.515,54.393,-34.878
62,rxn_2645,15.652,51.817,-36.165
63,rxn_2672,16.807,54.795,-37.988
65,rxn_2720,13.647,53.324,-39.677
66,rxn_2890,15.879,52.173,-36.294
68,rxn_2972,30.691,45.018,-14.327
71,rxn_3225,17.867,45.409,-27.542
73,rxn_3483,26.101,40.714,-14.613
74,rxn_3536,23.885,40.494,-16.609
75,rxn_3759,-7.711,24.957,-32.668
79,rxn_4392,7.773,30.351,-22.578
80,rxn_4581,28.693,41.846,-13.154
81,rxn_4652,-0.941,35.215,-36.156
83,rxn_5129,4.289,34.948,-30.659
84,rxn_5245,33.924,37.42,-3.497
85,rxn_5345,34.702,40.272,-5.57
86,rxn_5374,32.925,39.328,-6.402
88,rxn_5432,31.7,46.404,-14.704
89,rxn_5534,35.461,37.303,-1.842
92,rxn_5590,30.677,37.103,-6.426
95,rxn_5751,28.248,40.012,-11.764
96,rxn_5756,31.64,46.763,-15.123
98,rxn_5854,30.394,40.958,-10.564
102,rxn_5956,38.314,56.837,-18.523
106,rxn_6105,37.774,45.077,-7.303
109,rxn_6178,38.049,55.897,-17.848
110,rxn_6180,27.858,35.12,-7.262
114,rxn_6322,57.485,57.561,-0.075
117,rxn_6410,27.495,21.819,5.676
119,rxn_6583,47.418,37.043,10.375
120,rxn_6612,25.832,18.187,7.646
122,rxn_7236,28.33,32.182,-3.852
127,rxn_7911,31.377,73.051,-41.674
