#    R. ID             FORWARD             REVERSE            REACTION
rxn_33                   8.805              56.263             -47.458
rxn_365                 28.014              65.841             -37.828
rxn_500                 14.784              59.281             -44.497
rxn_552                  7.073              57.106             -50.032
rxn_635                 24.142              56.950             -32.808
rxn_657                 13.863              59.692             -45.828
rxn_695                 17.031              54.281             -37.250
rxn_789                 17.910              35.919             -18.009
rxn_795                 21.515              41.188             -19.673
rxn_816                 10.996              28.796             -17.800
rxn_853                 20.364              31.626             -11.262
rxn_922                 21.145              28.936              -7.791
rxn_1024                14.337              31.774             -17.437
rxn_1083                19.953              32.996             -13.043
rxn_1093                27.248              34.378              -7.130
rxn_1217                17.947              33.246             -15.299
rxn_1228                14.092              30.621             -16.530
rxn_1285                21.972              40.409             -18.437
rxn_1294                12.964              30.405             -17.441
rxn_1344                24.728              46.441             -21.713
rxn_1424                26.168              34.357              -8.189
rxn_1441                26.150              37.156             -11.006
rxn_1487                 8.748              59.350             -50.602
rxn_1495                 7.533              60.163             -52.630
rxn_1500                 9.234              60.507             -51.273
rxn_1536                 9.074              48.771             -39.697
rxn_1606                12.432              52.965             -40.533
rxn_1708                11.989              51.041             -39.052
rxn_1733                11.845              48.685             -36.840
rxn_1814                 8.365              55.259             -46.894
rxn_1909                11.780              50.649             -38.869
rxn_2002                10.892              58.696             -47.803
rxn_2012                10.160              53.058             -42.897
rxn_2246                 4.909              57.054             -52.145
rxn_2478                 9.774              57.676             -47.902
rxn_2482                 9.308              56.306             -46.998
rxn_2551                 5.754              57.038             -51.284
rxn_2645                 8.808              55.124             -46.316
rxn_2679                10.498              57.518             -47.020
rxn_2934                11.511              63.331             -51.819
rxn_3009                22.819              43.782             -20.963
rxn_3185                20.202              46.816             -26.613
rxn_3480                18.633              44.959             -26.326
rxn_3483                21.681              44.251             -22.570
rxn_3536                21.194              45.234             -24.040
rxn_3769                -2.164              36.314             -38.478
rxn_4074                -3.007              42.839             -45.846
rxn_4224                 0.017              35.210             -35.193
rxn_4392                 7.804              36.588             -28.784
rxn_4701                 3.196              40.569             -37.374
rxn_5245                35.415              36.622              -1.208
rxn_5345                36.047              39.862              -3.815
rxn_5374                34.918              38.425              -3.508
rxn_5383                40.855              38.435               2.420
rxn_5432                33.311              45.343             -12.032
rxn_5534                36.660              35.431               1.229
rxn_5551                34.641              33.915               0.726
rxn_5575                33.347              53.157             -19.809
rxn_5623                29.283              42.608             -13.325
rxn_5737                25.745              52.899             -27.155
rxn_5751                28.177              42.683             -14.507
rxn_5826                31.902              51.124             -19.222
rxn_5865                26.461              37.018             -10.556
rxn_5894                24.057              37.823             -13.766
rxn_5947                32.544              45.242             -12.698
rxn_5964                29.204              46.334             -17.130
rxn_5966                24.085              50.831             -26.746
rxn_5974                29.285              50.046             -20.761
rxn_6105                38.083              48.943             -10.860
rxn_6117                27.431              42.639             -15.208
rxn_6137                23.915              54.615             -30.700
rxn_6180                27.264              38.743             -11.480
rxn_6192                35.953              49.558             -13.605
rxn_6204                23.129              54.924             -31.795
rxn_6313                53.694              56.587              -2.893
rxn_6371                43.761              65.073             -21.312
rxn_6377                20.221              57.255             -37.033
rxn_6424                26.346              25.141               1.205
rxn_6612                28.370              22.033               6.338
rxn_7113                48.932              58.430              -9.498
rxn_7236                26.758              35.028              -8.270
rxn_7406                66.858              43.391              23.467
rxn_7501                46.028              58.496             -12.467
rxn_7888                25.575              74.556             -48.981
rxn_7908                31.351              79.183             -47.832
rxn_7911                31.311              76.102             -44.792
rxn_7985                22.300              71.869             -49.569
rxn_8018                11.148              42.702             -31.553
rxn_8302                43.960              80.845             -36.885
rxn_8317                45.725              87.825             -42.099
rxn_8336                21.639              84.029             -62.390
