,Name,b2k-plyp-DFT-forward,b2k-plyp-DFT-reverse,b2k-plyp-DFT-reaction
0,rxn_33,12.926,49.889,-36.964
1,rxn_53,21.261,54.133,-32.873
2,rxn_216,13.537,42.024,-28.487
3,rxn_365,27.706,58.633,-30.927
6,rxn_632,13.521,50.448,-36.927
10,rxn_721,17.127,54.196,-37.069
11,rxn_745,22.596,24.654,-2.058
12,rxn_769,25.525,26.537,-1.012
16,rxn_853,24.353,27.301,-2.948
18,rxn_971,25.262,38.076,-12.814
19,rxn_1000,34.322,32.22,2.102
20,rxn_1017,28.932,30.783,-1.851
21,rxn_1024,18.239,27.301,-9.062
23,rxn_1093,25.624,29.75,-4.126
24,rxn_1181,21.207,29.148,-7.942
27,rxn_1248,26.11,28.257,-2.147
28,rxn_1285,25.443,35.985,-10.542
31,rxn_1394,19.761,26.733,-6.972
32,rxn_1424,24.937,29.814,-4.877
33,rxn_1441,29.54,32.895,-3.355
34,rxn_1463,11.25,51.855,-40.605
35,rxn_1466,7.97,50.896,-42.926
36,rxn_1479,19.007,55.822,-36.814
37,rxn_1480,11.864,49.177,-37.313
41,rxn_1536,12.261,42.229,-29.968
43,rxn_1708,14.968,44.323,-29.356
45,rxn_1779,13.481,42.315,-28.835
46,rxn_1814,11.824,48.847,-37.024
48,rxn_1919,13.938,40.088,-26.15
50,rxn_2012,13.508,47.081,-33.573
51,rxn_2211,21.645,55.323,-33.678
53,rxn_2270,9.954,49.035,-39.081
54,rxn_2310,16.925,51.167,-34.243
55,rxn_2334,12.818,51.279,-38.462
56,rxn_2468,20.701,49.187,-28.485
58,rxn_2482,12.196,50.251,-38.055
59,rxn_2517,18.62,50.125,-31.505
60,rxn_2530,13.479,51.285,-37.806
62,rxn_2645,11.696,48.962,-37.266
63,rxn_2672,10.648,51.248,-40.601
65,rxn_2720,7.32,49.751,-42.431
66,rxn_2890,11.763,49.762,-37.999
68,rxn_2972,25.422,43.482,-18.06
71,rxn_3225,13.291,43.677,-30.386
73,rxn_3483,20.724,39.603,-18.878
74,rxn_3536,19.848,39.901,-20.053
75,rxn_3759,-6.648,24.975,-31.623
79,rxn_4392,9.802,31.276,-21.475
80,rxn_4581,23.758,43.431,-19.672
81,rxn_4652,-4.445,36.707,-41.151
83,rxn_5129,-0.726,35.412,-36.138
84,rxn_5245,32.748,33.46,-0.712
85,rxn_5345,33.749,37.233,-3.485
86,rxn_5374,32.785,35.619,-2.833
88,rxn_5432,31.339,43.6,-12.261
89,rxn_5534,37.635,35.199,2.436
92,rxn_5590,27.875,36.525,-8.65
95,rxn_5751,25.76,39.385,-13.625
96,rxn_5756,29.653,46.725,-17.072
98,rxn_5854,27.765,40.673,-12.908
102,rxn_5956,38.061,58.117,-20.056
106,rxn_6105,35.424,45.19,-9.767
109,rxn_6178,36.618,55.254,-18.635
110,rxn_6180,24.791,35.314,-10.522
114,rxn_6322,60.714,54.389,6.326
117,rxn_6410,27.55,19.871,7.679
119,rxn_6583,47.292,34.819,12.473
120,rxn_6612,27.997,18.849,9.148
122,rxn_7236,28.874,30.336,-1.462
127,rxn_7911,32.435,70.047,-37.612
