#    R. ID             FORWARD             REVERSE            REACTION
rxn_365                 33.981              54.192             -20.211
rxn_657                 20.585              49.806             -29.221
rxn_853                 28.182              24.629               3.553
rxn_1093                35.651              26.587               9.063
rxn_1217                24.430              25.882              -1.452
rxn_1424                34.562              26.656               7.907
rxn_1708                18.193              40.433             -22.240
rxn_1814                13.887              45.079             -31.192
rxn_2012                16.302              43.426             -27.124
rxn_3483                29.057              35.785              -6.728
rxn_4392                 9.521              24.916             -15.395
rxn_5245                31.001              32.636              -1.635
rxn_5534                36.744              35.325               1.419
rxn_5964                24.796              39.456             -14.660
rxn_6612                31.841              15.495              16.346
rxn_7236                29.623              26.747               2.876
rxn_7888                27.977              64.070             -36.093
rxn_7911                34.994              66.632             -31.638
